firstname,surname,address1,address2,city,state,postcode,countrycode,gender,dateofbirth
Fred,Smith,Customs House,1 Long Street,Glasgow,Glasgow,G10 1AA,UK,M,1/1/1970
Bob,Long,2 Short Street,,Southend,Essex,SS0 8BB,UK,M,2/2/1971
Nancy,Bayliss,3 Lombard Street,,Brighton,East Sussex,B23 4CC,GB,F,3/3/1973
Alan,Johnson,Tower House,4 Clements Lane,London,,EC14AA,,M,4/4/1974
Roger,May,5 Watling Ave,,Manchester,Manchester,M10 5DD,UK,M,5/5/1975
Mike,Ward,8 Wrong Rd,,Leeds,W Yorks,L11 6AA,UK,M,6/6/1976
Sarah,,1 Long Street,,Glasgow,Glasgow,G10,UK,F,7/7/1977
Linda,James,8 Wrong Road,,Leeds,West Yorkshire,L12 7EE,GB,F,8/8/1978
Helen,Mirren,6 The Bells,,Liverpool,Liverpool,LP10GG,UK,F,9/9/1979
Rebecca,May,4 Clements Ln,,London,London,EC1 4AA,UK,F,10/10/1980
